filename,date,rating,tags,,,,,,,,,,,,,,,,,,,,,
000.jpg,2000-01-01,1,trad,color,,art,machine,nature,,,
001.jpg,2013-05-06,1,digi,color,animal,doodle,,,,,
2.JPG,2022-05-05,0,digi,gimp,outline,machine,doodle,,,,,
3.jpg,2022-05-05,0,digi,gimp,color,doodle,,,,,,
4.jpg,2022-05-06,2,digi,gimp,outline,doodle,animal,female,,,,
5.jpg,2022-05-07,3,digi,gimp,outline,study,animal,female,,,,
6.jpg,2022-05-08,2,digi,gimp,outline,study,animal,female,house,,,
7.jpg,2022-05-09,3,digi,gimp,outline,study,male,female,,,,
8.jpg,2022-05-10,3,digi,gimp,outline,study,male,female,nude,,,
9.jpg,2022-05-10,3,digi,gimp,outline,study,male,female,nude,,,
10.jpg,2022-05-12,2,digi,gimp,outline,study,male,female,animal,,,
11.jpg,2022-05-13,3,digi,gimp,outline,study,male,female,object,,keysdraw,
12.jpg,2022-05-14,3,digi,gimp,outline,study,male,animal,doodle,,keysdraw,
13.jpg,2022-05-15,3,digi,gimp,outline,study,male,body,,,keysdraw,
14.jpg,2022-05-15,3,digi,gimp,outline,study,male,body,doodle,,keysdraw,
15.jpg,2022-05-17,3,digi,gimp,outline,color,body,animal,object,study,keysdraw,
16.jpg,2022-05-18,5,digi,gimp,mono,study,head,male,female,,keysdraw,
17.jpg,2022-05-20,3,digi,gimp,mono,study,object,animal,,,keysdraw,
18.jpg,2022-05-21,3,digi,gimp,mono,study,male,,animal,,keysdraw,
19.jpg,2022-05-22,3,digi,gimp,mono,study,object,,male,,keysdraw,
20.jpg,2022-05-23,3,digi,gimp,mono,study,machine,male,,,keysdraw,
21.jpg,2022-05-24,3,digi,gimp,outline,study,animal,male,master,,keysdraw,
22.jpg,2022-05-25,3,digi,gimp,outline,study,female,nature,master,,keysdraw,
23.jpg,2022-05-28,5,digi,gimp,mono,study,female,object,master,,keysdraw,
24.jpg,2022-05-30,4,digi,gimp,mono,study,animal,head,female,master,keysdraw,
